	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
1	Related Proteins	MGYP003683774647		MGYP003683774647,MGYP003684758569	MGYP003684758569					1.18	1.18	58.16	1	1	1	1	1	1					9.282615872980289	134.98775977396343	73.36412625096229	Doubtful
2	Related Proteins	MGYP000016012520		MGYP000016012520,MGYP000061050325,MGYP000134847112,MGYP000152461414,MGYP000284104769,MGYP000394260735,MGYP000450847262,MGYP000485975176,MGYP000579634602,MGYP000589480595,MGYP000859661794,MGYP001066822263,MGYP001185539925,MGYP001213023636,MGYP001223183501,MGYP001225793787,MGYP001250149658,MGYP001273178698,MGYP001349083677,MGYP001357586395,MGYP001371200233,MGYP001388388560,MGYP001413107012,MGYP001437384193,MGYP001441171457,MGYP001441172805,MGYP001444673565,MGYP001450087081,MGYP001463148135,MGYP001563668906,MGYP003389224496,MGYP003682165667,MGYP003682348753,MGYP003682857347,MGYP003683072131,MGYP003683141247,MGYP003683460303,MGYP003683567687,MGYP003683789629,MGYP003684495263,MGYP003685362151,MGYP003686576647,MGYP003687332829,MGYP003688532575,MGYP003688915489,MGYP003689395925,MGYP003689627565,MGYP003690363125,MGYP003690613435,MGYP003691057425,MGYP003691142269,MGYP003691843637	MGYP000061050325,MGYP000134847112,MGYP000152461414,MGYP000284104769,MGYP000394260735,MGYP000450847262,MGYP000485975176,MGYP000579634602,MGYP000589480595,MGYP000859661794,MGYP001066822263,MGYP001185539925,MGYP001213023636,MGYP001223183501,MGYP001225793787,MGYP001250149658,MGYP001273178698,MGYP001349083677,MGYP001357586395,MGYP001371200233,MGYP001388388560,MGYP001413107012,MGYP001437384193,MGYP001441171457,MGYP001441172805,MGYP001444673565,MGYP001450087081,MGYP001463148135,MGYP001563668906,MGYP003389224496,MGYP003682165667,MGYP003682348753,MGYP003682857347,MGYP003683072131,MGYP003683141247,MGYP003683460303,MGYP003683567687,MGYP003683789629,MGYP003684495263,MGYP003685362151,MGYP003686576647,MGYP003687332829,MGYP003688532575,MGYP003688915489,MGYP003689395925,MGYP003689627565,MGYP003690363125,MGYP003690613435,MGYP003691057425,MGYP003691142269,MGYP003691843637					11.46	11.46	87.5	1	1	1	1	1	1					117.57980105775033	10.341409293909281	64.0	Doubtful
3	Related Proteins	MGYP000005746099		MGYP000005746099,MGYP000065893252,MGYP000305250114,MGYP000732815900,MGYP003683444347,MGYP003683990173,MGYP003685017083,MGYP003685056859,MGYP003686051945,MGYP003689364757,MGYP003689588119	MGYP000065893252,MGYP000305250114,MGYP000732815900,MGYP003683444347,MGYP003683990173,MGYP003685017083,MGYP003685056859,MGYP003686051945,MGYP003689364757,MGYP003689588119					38.89	38.89	94.44	1	1	1	1	1	1					290.4912732015008	3.82986080221252	73.36412625096229	Doubtful
4	Related Proteins	MGYP003683104759		MGYP003683104759,MGYP003684390335	MGYP003684390335					14.84	14.84	60.99	2	2	2	2	2	2					124.2352614949815	20.45597959448317	81.60152526215442	Confident
5	Single Protein	MGYP000476118211		MGYP000476118211						26.67	30.0	85.56	3	2	2	1	3	2					256.5377477623644	9.036825827200241	79.61783439490446	Confident
6	Single Protein	MGYP900000095917		MGYP900000095917						13.55	16.82	71.5	3	2	3	2	4	3	Oxidation of M (M149)	Oxidation of M (1)			152.7325250853252	24.51342609079061	83.50202429149797	Confident
7	Related Proteins	MGYP000134761812		MGYP000134761812,MGYP001146316177,MGYP001231193214,MGYP003682313209,MGYP003683018049,MGYP003683382255,MGYP003684094791,MGYP003684750737,MGYP003685853465,MGYP003686323965,MGYP003686834763,MGYP003688714711,MGYP003690108433,MGYP003691409893,MGYP003691756455,MGYP003692027163	MGYP001146316177,MGYP001231193214,MGYP003682313209,MGYP003683018049,MGYP003683382255,MGYP003684094791,MGYP003684750737,MGYP003685853465,MGYP003686323965,MGYP003686834763,MGYP003688714711,MGYP003690108433,MGYP003691409893,MGYP003691756455,MGYP003692027163					20.0	20.0	60.91	1	1	1	1	1	1	Oxidation of M (M94)	Oxidation of M (1)			99.76467968536393	12.197075127271269	73.36412625096229	Doubtful
8	Related Proteins	MGYP000313591562		MGYP000313591562,MGYP003683701899,MGYP003683821135,MGYP003688630185	MGYP003683701899,MGYP003683821135,MGYP003688630185					17.16	17.16	52.07	3	3	1	1	5	4	Oxidation of M (M132, M149)	Oxidation of M (2)			125.41845446160035	36.71979145609286	83.50202429149797	Confident
9	Single Protein	MGYP003683852069		MGYP003683852069						8.39	12.64	48.86	13	10	9	7	14	10	Oxidation of M (M301, M559, M748, M752)	Oxidation of M (4)			106.31542829764294	112.15058199069642	81.60152526215442	Confident
10	Related Proteins	MGYP003682179297		MGYP003682179297,MGYP003683562909,MGYP003683775973,MGYP003685119587,MGYP003685324321,MGYP003685512477,MGYP003686038347,MGYP003686200139,MGYP003686482833,MGYP003686970209,MGYP003687467495,MGYP003687715531,MGYP003688868861,MGYP003689040973,MGYP003690140477,MGYP003691328055,MGYP003691679319	MGYP003683562909,MGYP003683775973,MGYP003685119587,MGYP003685324321,MGYP003685512477,MGYP003686038347,MGYP003686200139,MGYP003686482833,MGYP003686970209,MGYP003687467495,MGYP003687715531,MGYP003688868861,MGYP003689040973,MGYP003690140477,MGYP003691328055,MGYP003691679319					10.71	10.71	77.68	1	1	1	1	2	2	Oxidation of M (M217)	Oxidation of M (1)			96.3580808668393	22.90592917979862	83.50202429149797	Doubtful
